게시순번,제목,내용,등록일,관련기관명
"415,481","한-파라과이 첫 G2G 협력 교두보,“5억불 아순시온 철도”","한-파라과이 첫 G2G 협력 교두보,5억불 아순시온 철도- KIND-파라과이 철도공사 간 협력 MOU 체결 사업부지 : 파라과이 수도 아순시온  으빠까라이 사업구조 : 순수 민간사업(BOT) 사업내용 : 약 44km 연장(역7, 차량기지1) 사업기간 : 건설 약 2년, 운영 30년 총사업비 : 약 5억 불▲한국해외인프라도시개발지원공사(KIND)와 파라과이 철도공사(FEPASA)의 업무협약식(MOU) 2020.8.19.(수)파라과이 경전철 사업 수주를 지원하기 위해 파라과이를 전격 방문했던 정부 민관합동대표단*이 지난 19일 KIND와 파라과이 철도공사(FEPASA) 간에 업무협약(MOU)을 체결하면서 양국 간 G2G 협력을 위한 교두보를 마련하였다.* 국토교통부(장관 김현미), 외교부(장관 강경화), 한국해외인프라도시개발지원공사(이하 KIND), 철도시설공단을 비롯하여 민간 건설기업 등으로 구성파라과이 경전철은 수도 아순시온(Asuncion)과 외곽 으빠까라이(Ypacarai)를 잇는 도시철도를 건설하는 5억불 규모의 민자사업(PPP)으로, 식민지시대 낡은 철도 외에는 도시철도가 전무한 아순시온 시에 도시철도를 최초로 건설하는 기념비적인 프로젝트이다.KIND는 이번 MOU를 통해 향후 동 철도의 사업 구상, 금융 조달, 투자자 및 시공사 섭외 등에 대하여 파라과이 철도공사(FEPASA)와 공동 협력을 하게 되며, MOU의 1단계 후속조치로 파라과이 철도공사의 요청에 따라 올해 타당성조사(F/S)를 KIND에서 착수할 계획이다.또한, 우리 측은 타당성 조사 기간 중에 팀 코리아(Team Korea) 구축, 금융조달방안 확정 등 관련 제반 준비를 마무리할 예정으로, 타당성 조사가 완료되는 대로, 시공 등 본사업에 대하여도 G2G 협력이 이어질 수 있도록 파라과이 정부와 협의를 적극 추진할 계획이다.한편, 외교부는 주파라과이 대사관 등과 긴밀한 협의를 통해 파라과이 국회의장 및 공공사업통신부, 재무부, 외교부 등 정부 고위급 인사와의 면담을 주선하고 출입국 절차를 지원하는 등 금번 민관합동대표단의 방문 성과를 도출하는데 기여하였다.박재순 해외건설정책과장은 금번 G2G 협력은 올해 2월 방글라데시 3개 사업의 성과에 이은 투자개발사업 G2G 협력의 대표적 사례라고 설명하면서, 정부와 KIND, 공기업, 민간기업이 한마음으로 팀 코리아를 구성해 G2G 협력을 하는 해외건설 진출전략의 새로운 모델로 자리잡기를 바란다고 밝혔다.",2020.8.25,국토교통부
"415,480","한국철도, 태풍 ‘바비’ 대비 긴급 안전대책회의","한국철도, 태풍 바비 대비 긴급 안전대책회의- 손병석 사장, 국민과 직원 안전 최우선재해 예방에 총력▲ 한국철도가 24일 오전 대전사옥 재해대책본부에서 제8호 태풍 바비 대비 긴급 안전대책회의를 열었다.한국철도가 24일 오전 대전사옥 재해대책본부에서 제8호 태풍 바비의 북상에 대비해 긴급 안전대책회의를 열고 재해 예방 대책을 점검했다.이번 태풍으로 시속 200km 폭풍이 불 것으로 예상됨에 따라 강풍의 피해가 우려되는 지역의 현장 점검을 강화하는 등 분야별 재해 예방 및 태풍에 대비 사전 안전점검을 실시하고 안전 확보에 총력을 다할예정이다.한국철도는 열차운행선에 설치된 기상검지장치의 정보를 바탕으로 사규 및 매뉴얼에 따라 안전을 위해 열차를 감속하거나 운행의 중지도 고려하고 있다.따라서, 태풍 기간 중 열차를 이용하시는 고객들께서는 코레일톡, 코레일 홈페이지, 고객센터 안내정보 등을 통해 사전에 열차운행정보를 확인하여 주실 것을 당부하였다.손병석 사장은 이번 태풍은 강한 바람이 예보되어 있는 만큼 강한 풍압으로 인해 피해가 발생하지 않도록 대비해야 한다며, 태풍 대비 및 복구과정에서 국민과 직원의 안전을 최우선으로 지켜달라고 당부했다.이인경 기자 ink1027@hanmail.net[출처 : 레일뉴스(http://www.itrailnews.co.kr/)]",2020.8.25,레일뉴스
"415,479",광주도시철도공사 열차안전운행 위한 특허 취득,"광주도시철도공사 열차안전운행 위한 특허 취득- 「자동열차제어장치 부품 잔여수명 확인시스템 및 관리방법」특허▲왼쪽부터 심광식 과장, 최상록 과장, 이용화 과장 최진원 부장, 박성광 대리광주도시철도공사(사장 윤진보)는 특허청으로부터 「자동열차제어장치 부품 잔여수명 확인시스템 및 관리방법」에 대한 특허 등록 통보를 받았다고 24일 밝혔다.공사 차량팀 최진원 부장(46) 외 4명은 전동차 운행 중 레일 아래에서 보내는 속도코드를 열차가 수신할 때, 발생되는 속도인식 오류를 해결하기 위해 지난 2017년 연구에 돌입했다.전동차는 주행 시 자동열차제어장치 신호보드라는 장치를 통해 속도코드를 수신해 열차 속도를 제어하게 되는데, 이 과정에서 장애가 발생 할 경우 열차 안전 운행에 큰 영향을 미치게 된다.연구팀은 끈질긴 연구 끝에 자동열차제어장치 신호보드의 오류 발생에 부품 잔여 수명이 영향을 미치는 점에 착안, 이를 확인할 수 있는 시험기 고안에 성공했다. 동시에 이 시험기를 이용해 자동열차제어장치의 고장원인을 파악하고 자체적으로 정비할 수 있는 방법까지 찾아내 특허를 출원했다.이번 특허 취득으로 공사는 열차 안전 운행을 위한 각종 특허기술을 비롯, 실용신안과 디자인 등 총 16건의 지적재산권을 보유하게 됐다.광주도시철도공사 윤진보 사장은 이번 특허는 현장에서 문제의식을 가지고 도전한 직원들의 열정어린 결과물이라며 앞으로도 시민 안전을 위해 끊임없이 노력하겠다고 밝혔다.이인경 기자 ink1027@hanmail.net[출처 : 레일뉴스(http://www.itrailnews.co.kr/)]",2020.8.25,레일뉴스
"415,380","부산 도시철도 1호선, 노후 전동차 교체","부산 도시철도 1호선, 노후 전동차 교체- 부산교통공사, 2018년 40칸 교체 이어 올해 48칸 추가 교체- 기존 신차보다 차체 보강충돌안전설비 장착으로 안전성 향상- 열차 내 CCTV공기질 개선장치 증설... 쾌적성 강화부산 도시철도 1호선을 달리는 노후 전동차 일부가 신형 전동차로 추가 교체된다.부산교통공사(사장 이종국)는 1호선 노후 전동차 40칸을 2018년 교체한 데 이어 올해 6개 편성 48칸을 추가 교체하기 위해 최초 편성 8칸을 노포차량기지에 입고했다고 24일 밝혔다.올해 도입되는 신형 전동차는 철도안전법의 강화된 충돌안전기준을 적용해 기존 도입된 신차보다 차체 보강을 강화하고 충돌안전설비도 설치해 안전성을 크게 향상시켰다. 또, 객실 내 CCTV 설치수량을 칸 당 2대에서 3대로 증설하고, 객실 내 미세먼지를 저감시켜 주는 공기질 개선장치도 설치했다.부산 도시철도 최초로 철도통합무선통신망인 LTE-R을 활용해 차량 주요장치의 상태 및 고장정보를 실시간 모니터링 가능한 스마트 예방검수 시스템을 도입해 비상시 차량의 상황을 신속히 파악하여 신속한 유지보수가 가능해진다.반입된 전동차는 앞으로 철도안전법에 의한 예비주행과 본선시운전 등 성능검증을 시행하여 내년까지 순차적으로 운행에 투입할 예정이다.부산교통공사 이종국 사장은 어려운 재정여건 속에서도 시민과의 약속인 1호선 노후전동차 교체사업에 최선을 다하고 있다며 철저한 성능검증을 시행하여 시민 안전을 최우선으로 안심하고 이용할 수 있는 도시철도를 만들겠다고 말했다.정창환 기자 jungunam@hanmail.net[출처 : 레일뉴스(http://www.itrailnews.co.kr/)]",2020.8.24,레일뉴스
"415,379","대구도시철도,「코로나19 예방 및 무더위 극복을 위한 쿨서비스 행사」개최","대구도시철도,「코로나19 예방 및 무더위 극복을 위한 쿨서비스 행사」개최대구도시철도공사(사장 홍승활)는 지난 20일(목) 14시 도시철도 3호선 명덕역 대합실에서 코로나19와 연일 계속되는 무더위에 어려움을 겪고 있는 시민들을 응원하기 위해코로나19 예방 및 무더위 극복을 위한 쿨서비스 행사를 개최했다고 밝혔다.행사는 14시부터 1시간 동안 진행됐으며, 도시철도 이용객들에게 시원한 생수 300병, 부채 500개, 휴대용 손소독제 200개를 나눠 주었다.또한 행사 전후 시설 방역을 철저히 하고, 행사 참여자 마스크 착용 및 거리두기, 물품 나눔 시 위생장갑 착용 등 혹시 모를 코로나19 감염 예방에도 만전을 기했다.이외에도 공사는 폭염에 대비해 1？2호선 역사의 온도를 28℃ 이하로 관리하고 있다. 3호선의 경우에도 상시 28℃ 이하로 냉방 중인 고객대기실 26개소를 운영하고 있으며, 이동식 냉방기(59대)와 대형선풍기(99대)도 가동하고 있다.홍승활 대구도시철도공사 사장은이번 행사는 무더위 속에서도 코로나19로 마스크를 벗지 못하는 시민들의 이중고를 위로하고, 도시철도를 이용하는 고객들이 잠시라도 더위를 잊을 수 있게 감사의 마음을 담아 준비했다며앞으로도 다양한 폭염대책을 추진하는 동시에 코로나19 예방도 철저히 해 시민이 안심하고 도시철도를 이용할 수 있도록 하겠다고 말했다이인경 기자 ink1027@hanmail.net[출처 : 레일뉴스(http://www.itrailnews.co.kr/)]",2020.8.24,레일뉴스
"415,180","대구도시철도,「제4기 DTRO 시민기자단」발대식 개최","대구도시철도,「제4기 DTRO 시민기자단」발대식 개최대구도시철도공사(사장 홍승활)는 8월 20일(목) 10:30 본사 5층 회의실에서 공사 대표 SNS를 통해 도시철도의 다양한 소식을 전할「제4기 DTRO 시민기자단」의 발대식을 가졌다고 밝혔다.이번에 새롭게 선발된 시민기자단은 15명이며, 대구시 구군 및 경산시에 걸쳐 지역별로 골고루 선발됐다. 연령대 또한 20대에서 50대까지 다양하게 구성됐다.이들은 향후 1년 동안 대구도시철도의 생생한 현장을 찾아 다양한 소식을 시민의 시각으로 담아낼 예정이다. 행사 스케치를 비롯해 역세권 명소, 미담 사례, 공사의 주요 성과와 정책 등을 기사나 영상 콘텐츠로 대외에 널리 알리는 역할을 하게 된다.또한 시민기자단에게는 위촉장 수여와 함께 명예기자증도 발급됐다. 아울러 제3기 최우수기자에게는 사장 표창이 전달됐다.한편, 이날 발대식은 참가자 전원 체열 검사, 마스크 착용 및 거리두기, 손소독제 비치 등 방역 당국의 지침을 철저히 준수하며 진행됐다.홍승활 대구도시철도공사 사장은앞으로 시민기자단과 함께 SNS를 통해 시민들과 좀 더 친근하게 소통하며 정보를 나눌 수 있게 되길 바란다며직원과 시민이 행복한 Happy DTRO가 되도록 도시철도가 만들어가는 행복한 소식들을 시민기자단들이 널리 알려주길 바란다고 말했다.이인경 기자 ink1027@hanmail.net[출처 : 레일뉴스(http://www.itrailnews.co.kr/)]",2020.8.21,레일뉴스
"415,179","SR, 코로나19 제로화 가속 … 사각지대 없는 안심방역","SR, 코로나19 제로화 가속  사각지대 없는 안심방역- 입점매장에 공기살균기 설치하고 승하차 동선 분리 및 손소독기 추가 설치- 역사 내 방역대책 재정비로 고객 불안감 해소SRT 운영사 SR(대표이사 권태명)은 최근 서울경기지역 사회적 거리두기 2단계 격상 관련 정부지침에 따라 역사 내 방역대책을 대폭 강화했다고 밝혔다.SR은 이용고객이 많은 수서역 입점식당매장 등에 바이러스 제거가 가능한 공기살균기를 우선 설치해 비말 전파로 인한 코로나19 감염 우려를 해소하고, 전 임대매장으로 확대 설치해 고객들이 안전하게 매장을 이용할 수 있도록 할 예정이다.SR은 바이러스 제거용 공기살균기가 코로나19 안심방역 효과뿐만 아니라 여름철 식중독 예방에도 효과를 보일 것으로 기대하고 있다.또한 SR은 승하차 동선을 분리해 고객 간 2차 접촉을 최소화하고 있으며, 수서역 승강장에 자동분사형 손소독기를 확대 설치하고 하루 3회 이상 역사 방역을 하는 등 고객의 안전한 역열차 이용과 코로나19 확산 방지를 위해 총력을 다하고 있다.권태명 SR 대표이사는 코로나19가 장기화되며 감염병 확산 위험이 다시 높아지는 가운데, 역사 내 방역대책을 철저히 재정비해 SRT 고객들의 불안감을 해소하고 역열차 내 코로나19 감염 제로를 이어가겠다.라고 밝혔다.",2020.8.21,(주)SR
"415,079","도시철도, 교통약자에게 만족도 가장 높아...","도시철도, 교통약자에게 만족도 가장 높아...- (교통수단별 만족도)도시철도항공기철도고속/시외버스시내버스여객선- (여객시설별 만족도)도시철도철도공항버스정류장/버스터미널여객선터미널- (교통수단별 기준적합률*) 철도도시철도버스항공기여객선- (여객시설별 기준적합률*)도시철도역사여객선터미널철도역사공항버스터미널* 교통약자가 이용하는 이동편의시설이 교통약자법상 세부기준에 적합하게 설치된 정도국토교통부(장관 김현미)와 한국교통안전공단(이사장 권병윤)은 8개 특별광역시(세종특별자치시 포함)를 대상으로 실시한 2019년도 교통약자 이동편의 실태조사* 결과를 발표했다.* 8개 특광역시(세종특별자치시 포함)와 9개도에 대해 격년으로 표본 조사 조사 대상 ㅇ 대상 : 8개 특별광역시 지역 교통수단여객시설보행환경 교통수단 : 버스(6,086대), 철도차량(255량), 도시광역철도(6,820량), 항공기(374대), 여객선(19척) 여객시설:여객자동차(버스)터미널(25개소),철도역사(32개소),도시광역철도역사(729개소), 공항(9개소), 여객선터미널(5개소), 버스정류장(622개소) 도로(보행환경) : 주요 여객시설 출입구 반경 150m(672개소)[ 1. 교통약자 현황 및 전망 : `18년比 12.9만 명  ]조사결과에 따르면, 19년말 기준으로 우리나라의 교통약자*는 전체인구(5,180만 명)의 약 29.4%인 1,522만 명(약 4명중 1명)으로 18년에 비해 약 12.9만 명 증가했다.* 장애인, 고령자, 임산부, 영유아를 동반한 사람, 어린이 등 일상생활에서 이동에 불편을 느끼는 사람(교통약자법 제2조 제1호)교통약자 유형별로는 고령화 추세에 따라 고령자(65세 이상)가 약 8백만 명으로 가장 높은 비율(약 52.7%)을 차지했고, 어린이, 장애인, 영유아 동반자, 임산부 순으로 높았다.[ 2. 교통약자 이동실태 : 동일 시내 버스이용률 높아 ]지역 내 이동 시 주로 이용하는 교통수단은 일반인, 교통약자 모두 버스, 도시철도 순이었으며, 도시철도의 교통약자 이용비율은 일반인 보다 높은* 것으로 나타났다.* (도시철도이용 비율) 교통약자 28.2%, 일반인 24.9%특히, 교통약자 중 고령자의 도시철도 이용비율이 35.2%로 가장 높은 것으로 조사되었다.지역 간 이동에 주로 이용하는 교통수단 비율은 모든 이용자에게서 승용차가 가장 높게 나타났으며, 장애인의 경우 철도 이용비율*이 다른 집단보다 높게 나타났다.* (철도이용 비율) 일반인 20.5%, 장애인 27.7%, 임산부 10.6%, 고령자 12.4%이러한 도시철도 및 철도 이용률이 높은 것은 교통약자 유형에 따라 운임요금 할인제도를 시행 중이며, 교통수단 및 여객시설의 이동편의시설 기준적합률이 가장 높아 교통약자의 이용비율이 높은 것으로 판단된다.* 철도운영사(코레일, SRT)는 교통약자 유형(장애인, 고령자, 임산부 등)에 따라 운임요금을 최대 50% 할인* 도시철도 운영사(서울교통공사, 인천교통공사 등)은 장애인, 고령자 등을 대상으로 운임을 무료로 운영 중[ 3. 이동편의시설 기준적합률 분석 : `17년比 1.1%  ]교통수단, 여객시설, 도로(보행환경)를 대상으로 한 이동편의시설의 기준 적합률은 8개 특별광역시 평균 79.4%로 조사되었으며, 지난 조사(17년)에 비해 1.1%p 증가하여, 점차 개선*되고 있는 것으로 나타났다.* (특별광역시 기준적합률) (`12년)71.3%, (`14년)73.2%, (`16년)74.5%, (`17년)78.3%, (`19년)79.4%대상별로 보면, 버스철도 등 교통수단이 78.3%, 터미널철도역사 등 여객시설 78.5%, 보도육교 등 도로(보행환경) 81.3%로 조사되었다.교통수단별 기준 적합률은 철도(98.6%)가 가장 높고, 도시광역철도(95.4%), 버스(94.1%), 항공기(72.6%), 여객선(30.5%) 순으로 조사되었다.항공기는 평가기준이 보다 구체화함에 따라 저비용 항공사를 중심으로 기준 적합률이 낮은 편이며, 여객선은 구조적으로 이동편의시설 설치가 곤란한 10년이 경과한 노후 선박이 대부분이어서 기준 적합률이 낮게 나타났다.여객시설별 기준 적합률은 공공의 관리 비율이 높은 도시광역철도 역사(90.9%)가 가장 높고, 여객선터미널(87.8%), 철도역사(86.5%), 공항(83.1%) 순이며, 민간에서 주로 관리하고 있는 버스터미널(66.0%) 등은 상대적으로 낮게 조사되었다.[ 4. 교통수단 및 여객시설 이용자 만족도 : `17년比 1.1점  ]지난 1년간 여객시설 및 교통수단을 이용한 경험이 있는 일반인과 교통약자(총 1,500명)를 대상으로 이동편의시설에 대한 이용자 만족도를 조사한 결과, 이동편의시설에 대한 종합 만족도는 75.7점으로 17년(74.6점) 대비 1.1점 상승하였으며, 이동편의시설별로는, 여객시설에 대한 만족도는 83.8점, 교통수단 만족도는 76.3점, 도로(보행환경) 만족도는 71.8점으로 나타났고, 교통수단별로는, 도시광역철도 만족도(79.5점)가 가장 높고,항공기(79.0점), 철도(78.0점), 고속시외버스(77.3점), 시내버스(75.2점), 여객선(65.3점) 순으로 나타났다.여객시설은 도시광역철도 역사의 만족도(85.8점)가 가장 높았고, 철도역사(85.0점), 공항터미널(83.5점), 버스정류장(82.4점), 버스터미널(82.1점), 여객선터미널(71.4점) 순으로 조사되었다.국토교통부 윤영중 교통안전복지과장은 이번 실태조사 결과를 지자체와 교통사업자 등에 제공하여 미흡한 사항은 개선해 나갈 수 있도록 유도해 나갈 계획이라고 밝혔다.아울러, 교통약자가 안전하고 편리하게 이동할 수 있도록 이동편의시설을 지속적으로 개선하고, 저상버스 등 교통약자를 위한 교통수단 도입 확대를 위해 적극적으로 지원하겠다라고 덧붙였다.이번 조사에 대한 보다 자세한 결과(세부실태조사)는 한국교통안전공단에서 운영 중인 교통안전정보관리시스템(http://tmacs.kotsa.or.kr의 교통약자 등-이동편의시설현황)을 통해 확인할 수 있다.",2020.8.20,국토교통부
"414,980","서울교통공사, 심재창 안전관리본부장 신규임명","서울교통공사, 심재창 안전관리본부장 신규임명- 86년 서울지하철공사 입사해 한길 걸어온 지하철맨- 코로나19 긴급상황각종 사고 발생 시 선제적 대응 높은 평가 받아- 8월 20일자 임명임기는 3년지하철 안전관리 적임자로서의 역할 기대■ 서울교통공사(사장 김상범)가 공사 상임이사이자 신임 안전관리본부장으로 심재창 현 안전계획처장을 임명했다.○ 안전관리본부장은 공사 및 공사가 운영하는 지하철 노선의 안전재난보건환경에 관한 업무를 총괄ㆍ조정하는 직책으로, 임원에 해당하며 사장 부재 시에는 사장 직무대행직을 수행한다.○ 신임 안전관리본부장의 임기는 3년간이다. (2020. 8. 20.~2023. 8. 19.)■ 신임 심재창 본부장은 1986년 7월 서울지하철공사(현 서울교통공사의 전신 기업으로 이후 서울메트로로 사명 변경, 1~4호선 운영)에 입사해, 전기 관련 업무를 중심으로 경력을 쌓아온 지하철맨이다.■ 이후 2016년 서울메트로 안전조사처 조사TF 팀장을 맡으며 본격적인 안전 관리 업무를 시작, 2018년에는 안전계획처 처장에 취임해 공사의 중요한 안전문제를 해결하는 데 기여해 왔다. 특히 각종 철도사고 발생 시 현장으로 가장 먼저 출동해 직원들을 이끈 바 있다.▲ 심 본부장(당시 안전계획처장)이 지난 6월 11일 4호선 상계역서 추돌사고가 발생했을 때, 현장으로 출동해 사고 브리핑을 진행하는 모습 (좌측) 및 코로나19 재난안전대책본부 회의를 진행 중인 모습(우측).■ 2020년 6월부터는 전임자(최정균 前 안전관리본부장) 퇴임으로 공석이 된 안전관리본부장의 직무대행직을 수행 중이었다.■ 코로나19 확산 방지를 위한 노력도 높은 평가를 받았다. 심 본부장은 공사 코로나19 재난안전대책본부 총괄상황반 반장을 맡아, 매일 회의를 진행하며 현안에 적극 대응해 왔다. 심 본부장의 노력 덕택에 공사의 지하철 전염병 대응방안은 홍콩 MRT와 함께 세계 지하철 연구단체(CoMET, Community of Metros)가 선정한 사례연구 1위로 꼽히는 등 좋은 성과도 거둔 바 있다.■ 심 본부장은 코로나19 사태가 좀처럼 진정되지 않는 현 상황에서 안전관리본부장이라는 중책을 맡게 되어 막중한 책임감을 느낀다.라며, 지하철 안전은 무엇과도 양보할 수 없는 최고의 가치인 만큼, 안전확보를 위한 모든 노력을 다하겠다.라고 포부를 밝혔다.",2020.8.20,서울교통공사
"414,979","대전도시철도, 국가기술 최고 자격 ‘기술사’ 풍년","대전도시철도, 국가기술 최고 자격 기술사 풍년- 제121회 국가시험에서 전기철도기술사, 토목시공기술사, 차량철도기술사 등 3명 최종 합격- 전기ㆍ토목ㆍ철도차량 등 다양한 분야에 박사 4명, 기술사 14명 보유...철도분야 전문성 쑥쑥△ 사진 왼쪽부터 제121회 국가시험에서 토목시공기술사에 합격한 김유신 차장, 전기철도기술사에 합격한 신일용 부장, 철도차량기술사에 합격한 조재현 차장대전도시철도공사는 지난 14일 최종합격자가 발표된 제121회 국가시험에서 총 3명의 직원이 기술사 시험에 최종 합격했다고 밝혔다.기술사는 해당 분야 최고 수준의 전문지식을 비롯해 기술력, 연구개발 등 종합적인 역량을 인증하는 국가 기술 관련 최상위 자격이다.이번에 합격한 기술관제팀 신일용 부장(51), 용두역건설PL 김유신 차장(46), 차량팀 조재현 차장(48)은 모두 도시철도 분야에서 20년 이상 근무한 베테랑 직원들로 주경야독(晝耕夜讀)하며 기술사 도전에 힘쓴 결과 당당히 합격의 영예를 안았다.대전도시철도공사는 토목건축소방철도차량 등 다양한 분야에 4명의 박사와 14명의 기술사 등 수준 높은 전문 인력과 기술력을 보유하고 있다.이를 바탕으로 개통이후 14년 무사고라는 대기록을 이어가고 있으며 국내외 도시철도 설계시공감리 등 신규 사업 진출에 지속 도전하고 있다.토목시공기술사에 합격한 김유신 차장은사내에 서로 격려하며 공부하는 분위기가 가득해 기술사를 취득하는데 큰 도움이 됐다며 전문지식과 현장경험을 활용, 더욱 안전하고 편리한 도시철도를 만들어 나가겠다고 말했다.",2020.8.20,대전도시철도공사
"414,882","한국철도, “열차 탈 때 방역 3대 수칙 철저 준수” 당부","한국철도, 열차 탈 때 방역 3대 수칙 철저 준수 당부- 마스크 착용음식물 섭취 자제손소독  모두의 안전 위해 강력 계도■ 한국철도(코레일)가 정부의 사회적 거리두기 2단계 격상 조치에 따라 열차 이용 시 방역 수칙을 철저히 지켜달라고 다시 한 번 강조했다.■ 한국철도는 18일 오전 대전 본사에서 코로나 확진자 급증에 따른 긴급 영상 대책회의를 소집해 현재의 방역 대응 체제를 점검하고, 이용객 안전을 위해 △마스크 착용 △음식물 섭취 자제 △손소독 등 3대 방역 수칙에 대한 강력한 계도활동을 하기로 했다.△ 한국철도(코레일)가 18일 오전 대전 본사에서 코로나 확진자 급증에 따른 긴급 영상회의를 소집하고, 철도 전 분야에서 사회적 거리두기 2단계 대응 조치 등 코로나 방역 태세를 점검했다.■ 한국철도는 지난 5월부터 시행된 정부의 대중교통 내 방역 강화 조치에 따라 마스크 미착용 승객의 열차 이용을 제한하고 있다.ㅇ 이를 위해 차내 자판기에서 마스크를 판매하고, 특실 승객에게는 간식 대신 덴탈 마스크를 지급하는 등 열차에서 반드시 마스크를 쓰도록 했다.ㅇ 승객들이 마스크로 코와 입을 완전히 가리고 턱에만 걸치는 일이 없도록 안내하고, 모바일 앱 코레일톡에 마스크 미착용 신고 기능을 추가하는 등 계도를 더욱 강화했다.■ 특히 일행과 대화하거나 전화통화를 하며 마스크를 오랫동안 벗고 있는 승객에게는 승무원이 직접 협조를 요청하고 있으며, 열차 안에서 음식물 섭취를 자제하도록 안내 중이다.■ 이와 함께, 이용객이 많은 서울, 부산 등 10개 역에는 자동분사형 손소독기를 설치하고 맞이방과 승강장 기둥 등 철도 이용객이 자주 접하는 곳에 손소독제를 비치해 열차를 타기 전 꼭 사용하도록 했다.■ 한편, 그동안 한국철도는 감염병 위기경보 심각 단계에 대응하는 최고 수준의 방역 태세를 유지해왔다. 전국 모든 역사는 하루 2회 이상 전체 방역하고, 열차는 운행을 종료하는 때마다 방역 작업을 시행하고 있다.■ 한국철도 관계자는 코로나가 완전히 종식될 때까지 모든 자원을 집중해 방역에 만전을 기하겠다며 열차 타기 전 꼭 손을 소독하고, 마스크로 코와 입을 완전히 가리고 음식을 먹기 위해 마스크를 벗는 행위를 삼가해달라며 열차 이용 수칙에 적극 협조해 줄 것을 당부했다.",2020.8.19,한국철도공사
"414,881",태백선(제천~동해 구간) 20일부터 열차운행 재개,태백선(제천~동해 구간) 20일부터 열차운행 재개■ 지난 집중호우에 따른 토사유입과 약화된 지반에 의한 낙석 등으로 열차운행이 중단됐던 태백선 제천~동해 구간은 복구와 안전점검을 마치고 20일(수) 첫차(출발역 기준)부터 운행을 재개함* (첫 하행) 누리로 1631열차(청량리 07:05  제천 09:28  동해 12:23)* (첫 상행) 누리로 1632열차(동해 05:30  제천 08:21  청량리 10:25)ㅇ 태백선 여객열차 운행재개 전날인 8월 19일 16시 이후 화물열차 서행을 통한 사전 시운전으로 여객열차의 안전을 미리 확보할 예정임■ 금번 수해로 충북선을 제외한 모든 노선의 운행이 재개됐으며 충북선도 철도이용객의 불편 최소화를 위해 최대한 빠른 시일 내에 복구토록 최선을 다하겠음.,2020.8.19,한국철도공사
"414,880","인천교통공사, 공공기관 청렴시민감사관(청렴옴부즈만) 교류회 개최","인천교통공사, 공공기관 청렴시민감사관(청렴옴부즈만) 교류회 개최인천교통공사(사장 정희윤)는 18일 기관 간 청렴정책 참여 확산을 위해 공공기관 청렴시민감사관(청렴옴부즈만) 교류협력 활동을 가졌다고 밝혔다.인천교통공사 주관으로 개최된 행사는 경기주택도시공사, 인천도시공사, 인천시설공단, 인천환경공단 등 경인지역 5개 공사공단 소속 청렴시민감사관(청렴옴부즈만)이 참석해 반부패청렴 정책 우수사례 공유와 청렴시민감사관 운영 발전 방안 협의, 코로나19 관련 기관별 대응현황 등을 주제로 진행됐다.공공기관의 청렴시민감사관(청렴옴부즈만)은 시민외부전문가 등으로 구성되어, 독립된 지위를 갖고 부패행위 사전 예방 및 불합리한 제도 개선 권고 등 감사의 투명성과 효율성을 도모하기 위한 제도로써 공공기관의 청렴도 향상에 기여하고 있다.전상주 인천교통공사 상임감사는 청렴시민감사관(청렴옴부즈만) 제도 운영으로 공사 청렴도 향상에 큰 도움이 되고 있다며, 이번에 경인지역 청렴시민감사관 교류 활동을 통해 공공기관으로써 경인지역의 청렴 문화 확산에 이바지 할 수 있는 계기를 마련하고자 한다고 말했다.",2020.8.19,인천교통공사
